BenchmarkName,CoresNumber,Area,Instructions,Cycles,IPC,Power
barnes,cores_1,95.0095,1.7799612E+09,1.9203587E+09,0.93,39.2879
cholesky,cores_1,95.0095,453124770,189582750,2.39,46.217
fft,cores_1,95.0095,129502150,67930790,1.91,40.7983
lu.ncont,cores_1,388.384,48659944,19744182,2.46,306.25
lu.ncont,cores_1,388.384,40444072,19744182,2.05,306.25
lu.ncont,cores_1,388.384,42525184,19744182,2.15,306.25
lu.ncont,cores_1,388.384,44528180,19744182,2.26,306.25
lu.ncont,cores_1,388.384,46353356,19744182,2.35,306.25
lu.ncont,cores_1,388.384,42315772,19744182,2.14,306.25
lu.ncont,cores_1,388.384,44573724,19744182,2.26,306.25
lu.ncont,cores_1,388.384,46657540,19744182,2.36,306.25
ocean.cont,cores_1,95.0095,298609760,291218620,1.03,39.8625
ocean.ncont,cores_1,95.0095,336864830,359542460,0.94,38.7477
radix,cores_1,95.0095,46452676,104261730,0.45,31.2556
water.nsq,cores_1,95.0095,435476100,284393630,1.53,41.5592
barnes,cores_2,128.211,890825660,968444030,0.92,71.4513
barnes,cores_2,128.211,889195000,968444030,0.92,71.4513
cholesky,cores_2,128.211,242746940,102878304,2.36,84.774
cholesky,cores_2,128.211,234338080,102878304,2.28,84.774
fft,cores_2,128.211,64767664,38245988,1.69,73.0208
fft,cores_2,128.211,64767756,38245988,1.69,73.0208
lu.ncont,cores_2,193.678,92985010,34710528,2.68,157.966
lu.ncont,cores_2,193.678,84730144,34710528,2.44,157.966
lu.ncont,cores_2,193.678,88730270,34710528,2.56,157.966
lu.ncont,cores_2,193.678,88637184,34710528,2.55,157.966
ocean.cont,cores_2,128.211,149834430,174321090,0.86,68.7978
ocean.cont,cores_2,128.211,150024030,174321090,0.86,68.7978
ocean.ncont,cores_2,128.211,168830960,218978080,0.77,66.2419
ocean.ncont,cores_2,128.211,168941010,218978080,0.77,66.2419
radix,cores_2,128.211,23265438,52430848,0.44,55.5719
radix,cores_2,128.211,23280788,52430848,0.44,55.5719
water.nsq,cores_2,128.211,213528380,152668180,1.4,75.1426
water.nsq,cores_2,128.211,222226640,152668180,1.46,75.1426
barnes,cores_4,193.678,434301220,499590050,0.87,134.458
barnes,cores_4,193.678,440481020,499590050,0.88,134.458
barnes,cores_4,193.678,456733060,499590050,0.91,134.458
barnes,cores_4,193.678,448877100,499590050,0.9,134.458
cholesky,cores_4,193.678,174824370,81176856,2.15,158.681
cholesky,cores_4,193.678,164343680,81176856,2.02,158.681
cholesky,cores_4,193.678,162581890,81176856,2,158.681
cholesky,cores_4,193.678,167447730,81176856,2.06,158.681
fft,cores_4,193.678,32398344,23732912,1.37,134.265
fft,cores_4,193.678,32395788,23732912,1.37,134.265
fft,cores_4,193.678,32395348,23732912,1.36,134.265
fft,cores_4,193.678,32394822,23732912,1.36,134.265
lu.ncont,cores_4,128.211,181378060,64189856,2.83,84.1584
lu.ncont,cores_4,128.211,173217140,64189856,2.7,84.1584
ocean.cont,cores_4,193.678,76441984,122864970,0.62,117.976
ocean.cont,cores_4,193.678,76535736,122864970,0.62,117.976
ocean.cont,cores_4,193.678,77221136,122864970,0.63,117.976
ocean.cont,cores_4,193.678,77127424,122864970,0.63,117.976
ocean.ncont,cores_4,193.678,86175120,146494320,0.59,115.914
ocean.ncont,cores_4,193.678,86130304,146494320,0.59,115.914
ocean.ncont,cores_4,193.678,86240080,146494320,0.59,115.914
ocean.ncont,cores_4,193.678,86078256,146494320,0.59,115.914
radix,cores_4,193.678,11689173,26376180,0.44,104.218
radix,cores_4,193.678,11699467,26376180,0.44,104.218
radix,cores_4,193.678,11665428,26376180,0.44,104.218
radix,cores_4,193.678,11678090,26376180,0.44,104.218
water.nsq,cores_4,193.678,106835664,84568110,1.26,140.559
water.nsq,cores_4,193.678,108202496,84568110,1.28,140.559
water.nsq,cores_4,193.678,114183096,84568110,1.35,140.559
water.nsq,cores_4,193.678,106853370,84568110,1.26,140.559
barnes,cores_8,388.384,211795260,258886960,0.82,265.679
barnes,cores_8,388.384,232559300,258886960,0.9,265.679
barnes,cores_8,388.384,222716670,258886960,0.86,265.679
barnes,cores_8,388.384,217798940,258886960,0.84,265.679
barnes,cores_8,388.384,231206580,258886960,0.89,265.679
barnes,cores_8,388.384,232194880,258886960,0.9,265.679
barnes,cores_8,388.384,208510980,258886960,0.81,265.679
barnes,cores_8,388.384,224181810,258886960,0.87,265.679
cholesky,cores_8,388.384,99255664,44880824,2.21,320.55
cholesky,cores_8,388.384,97826330,44880824,2.18,320.55
cholesky,cores_8,388.384,98077576,44880824,2.19,320.55
cholesky,cores_8,388.384,97064390,44880824,2.16,320.55
cholesky,cores_8,388.384,93640144,44880824,2.09,320.55
cholesky,cores_8,388.384,93159550,44880824,2.08,320.55
cholesky,cores_8,388.384,96257790,44880824,2.14,320.55
cholesky,cores_8,388.384,95070456,44880824,2.12,320.55
fft,cores_8,388.384,16220937,8949017,1.81,286.479
fft,cores_8,388.384,16210495,8949017,1.81,286.479
fft,cores_8,388.384,16209119,8949017,1.81,286.479
fft,cores_8,388.384,16208495,8949017,1.81,286.479
fft,cores_8,388.384,16209282,8949017,1.81,286.479
fft,cores_8,388.384,16208263,8949017,1.81,286.479
fft,cores_8,388.384,16208088,8949017,1.81,286.479
fft,cores_8,388.384,16209497,8949017,1.81,286.479
lu.ncont,cores_8,95.0095,354345060,117843810,3.01,46.5759
ocean.cont,cores_8,388.384,39047020,30184882,1.29,289.983
ocean.cont,cores_8,388.384,38691480,30184882,1.28,289.983
ocean.cont,cores_8,388.384,39020424,30184882,1.29,289.983
ocean.cont,cores_8,388.384,38578616,30184882,1.28,289.983
ocean.cont,cores_8,388.384,38921000,30184882,1.29,289.983
ocean.cont,cores_8,388.384,38688972,30184882,1.28,289.983
ocean.cont,cores_8,388.384,39033140,30184882,1.29,289.983
ocean.cont,cores_8,388.384,38674912,30184882,1.28,289.983
ocean.ncont,cores_8,388.384,43459104,72159336,0.6,236.497
ocean.ncont,cores_8,388.384,43332392,72159336,0.6,236.497
ocean.ncont,cores_8,388.384,43491036,72159336,0.6,236.497
ocean.ncont,cores_8,388.384,43374128,72159336,0.6,236.497
ocean.ncont,cores_8,388.384,43415916,72159336,0.6,236.497
ocean.ncont,cores_8,388.384,43326568,72159336,0.6,236.497
ocean.ncont,cores_8,388.384,43373240,72159336,0.6,236.497
ocean.ncont,cores_8,388.384,43368996,72159336,0.6,236.497
radix,cores_8,388.384,5911858,13107150,0.45,209.618
radix,cores_8,388.384,5918141,13107150,0.45,209.618
radix,cores_8,388.384,5865989,13107150,0.45,209.618
radix,cores_8,388.384,5886494,13107150,0.45,209.618
radix,cores_8,388.384,5880201,13107150,0.45,209.618
radix,cores_8,388.384,5906862,13107150,0.45,209.618
radix,cores_8,388.384,5879773,13107150,0.45,209.618
radix,cores_8,388.384,5893573,13107150,0.45,209.618
water.nsq,cores_8,388.384,53499088,46148860,1.16,277.262
water.nsq,cores_8,388.384,56430112,46148860,1.22,277.262
water.nsq,cores_8,388.384,57912464,46148860,1.25,277.262
water.nsq,cores_8,388.384,53504304,46148860,1.16,277.262
water.nsq,cores_8,388.384,53503308,46148860,1.16,277.262
water.nsq,cores_8,388.384,53509236,46148860,1.16,277.262
water.nsq,cores_8,388.384,53425392,46148860,1.16,277.262
water.nsq,cores_8,388.384,54936400,46148860,1.19,277.262
